time_normalized,blue,orange
0.2159549,0.9102564,0.4927536
0.2167607,0.9214047,0.4921962
0.2175665,0.9152731,0.4849498
0.2183723,0.9169454,0.4988852
0.2191781,0.9219621,0.5000000
0.2199839,0.9119287,0.5066890
0.2207897,0.9041249,0.5066890
0.2215955,0.9063545,0.5066890
0.2224013,0.9152731,0.5005574
0.2232071,0.9152731,0.5005574
0.2240129,0.9175028,0.5078038
0.2248187,0.9163880,0.5150502
0.2256245,0.9147157,0.5156076
0.2264303,0.8979933,0.5306577
0.2272361,0.8991081,0.5306577
0.2280419,0.9069119,0.5239688
0.2288477,0.9175028,0.5239688
0.2296535,0.9052397,0.5306577
0.2304593,0.9007804,0.5312152
0.2312651,0.9169454,0.5479376
0.2320709,0.8946488,0.5613155
0.2328767,0.8874025,0.5758082
0.2336825,0.9041249,0.5746934
0.2344883,0.9147157,0.5523969
0.2352941,0.9102564,0.5445931
0.2360999,0.9041249,0.5451505
0.2369057,0.9063545,0.5562988
0.2377115,0.9074693,0.5602007
0.2385173,0.9080268,0.5674470
0.2393231,0.9130435,0.5674470
0.2401289,0.9002230,0.5674470
0.2409347,0.9002230,0.5746934
0.2417405,0.8907469,0.5752508
0.2425463,0.8862876,0.5819398
0.2433521,0.8795987,0.5819398
0.2441579,0.8812709,0.5819398
0.2449637,0.8840580,0.5891862
0.2457695,0.8812709,0.5903010
0.2465753,0.8929766,0.5969900
0.2473811,0.8924192,0.5969900
0.2481869,0.8979933,0.5969900
0.2489927,0.8963211,0.6042363
0.2497985,0.8929766,0.6059086
0.2506044,0.8874025,0.6064660
0.2514102,0.8913043,0.6070234
0.2522160,0.8957637,0.6137124
0.2530218,0.8885173,0.6137124
0.2538276,0.8946488,0.6137124
0.2546334,0.8751394,0.6137124
0.2554392,0.8907469,0.6215162
0.2562450,0.9057971,0.6220736
0.2570508,0.9041249,0.6159420
0.2578566,0.8829431,0.6153846
0.2586624,0.8968785,0.6153846
0.2594682,0.8907469,0.6298774
0.2602740,0.8768116,0.6371237
0.2610798,0.8751394,0.6371237
0.2618856,0.8879599,0.6298774
0.2626914,0.8935340,0.6298774
0.2634972,0.8756968,0.6298774
0.2643030,0.8740245,0.6298774
0.2651088,0.8623188,0.6298774
0.2659146,0.8812709,0.6371237
0.2667204,0.8874025,0.6371237
0.2675262,0.8779264,0.6516165
0.2683320,0.8946488,0.6516165
0.2691378,0.8957637,0.6516165
0.2699436,0.8734671,0.6443701
0.2707494,0.8712375,0.6371237
0.2715552,0.8667781,0.6371237
0.2723610,0.8628763,0.6516165
0.2731668,0.8573021,0.6426979
0.2739726,0.8617614,0.6421405
0.2747784,0.8673356,0.6326644
0.2755842,0.8662207,0.6365663
0.2763900,0.8556299,0.6482720
0.2771958,0.8584169,0.6488294
0.2780016,0.8662207,0.6560758
0.2788074,0.8489409,0.6560758
0.2796132,0.8522854,0.6560758
0.2804190,0.8634337,0.6560758
0.2812248,0.8517280,0.6644370
0.2820306,0.8494983,0.6649944
0.2828364,0.8556299,0.6733556
0.2836422,0.8483835,0.6739130
0.2844480,0.8539576,0.6733556
0.2852538,0.8595318,0.6906355
0.2860596,0.8645485,0.6950948
0.2868654,0.8539576,0.7101449
0.2876712,0.8511706,0.7263099
0.2884770,0.8795987,0.7263099
0.2892828,0.8623188,0.7201784
0.2900886,0.8522854,0.7185061
0.2908944,0.8589744,0.7040134
0.2917002,0.8450390,0.7034560
0.2925060,0.8394649,0.6956522
0.2933118,0.8444816,0.7028986
0.2941176,0.8528428,0.7034560
0.2949234,0.8578595,
0.2957293,0.8612040,
0.2965351,0.8684504,
0.2973409,0.8673356,
0.2981467,0.8561873,
0.2989525,0.8489409,
0.2997583,0.8561873,
0.3005641,0.8528428,
0.3013699,0.8584169,
0.3021757,0.8578595,0.7179487
0.3029815,0.8617614,0.7185061
0.3037873,0.8690078,0.7329989
0.3045931,0.8751394,0.7335563
0.3053989,0.8673356,0.7341137
0.3062047,0.8578595,0.7329989
0.3070105,0.8734671,0.7257525
0.3078163,0.8818283,0.7257525
0.3086221,0.8701226,0.7263099
0.3094279,0.8717949,0.7263099
0.3102337,0.8729097,0.7263099
0.3110395,0.8678930,0.7263099
0.3118453,0.8678930,0.7263099
0.3126511,0.8628763,0.7263099
0.3134569,0.8701226,0.7263099
0.3142627,0.8706800,0.7263099
0.3150685,0.8628763,0.7263099
0.3158743,0.8634337,0.7257525
0.3166801,0.8628763,0.7112598
0.3174859,0.8600892,0.7028986
0.3182917,0.8556299,0.6872910
0.3190975,0.8673356,0.6878484
0.3199033,0.8717949,0.6945373
0.3207091,0.8701226,0.6828317
0.3215149,0.8545151,0.6722408
0.3223207,0.8506132,0.6716834
0.3231265,0.8634337,0.6789298
0.3239323,0.8695652,0.6861761
0.3247381,0.8678930,0.6856187
0.3255439,0.8712375,0.6850613
0.3263497,0.8868450,0.7062430
0.3271555,0.8835006,0.7146042
0.3279613,0.8896321,0.7369008
0.3287671,0.8935340,0.7296544
0.3295729,0.8801561,0.7290970
0.3303787,0.8795987,0.7073579
0.3311845,0.8829431,0.6884058
0.3319903,0.8846154,0.6772575
0.3327961,0.8779264,0.6772575
0.3336019,0.8795987,0.6850613
0.3344077,0.8952062,0.7001115
0.3352135,0.8907469,0.7012263
0.3360193,0.8840580,0.7090301
